Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve,Generation
1,Bulbasaur,45,49,49,65,65,45,318,Grass,Poison,Overgrow,,Chlorophyll,1 SpA,M (87.5%),Monster,Grass,45,,1
2,Ivysaur,60,62,63,80,80,60,405,Grass,Poison,Overgrow,,Chlorophyll,1 SpA/1 SpD,M (87.5%),Monster,Grass,45,Lv. 16,1
3,Venusaur,80,82,83,100,100,80,525,Grass,Poison,Overgrow,,Chlorophyll,2 SpA/1 SpD,M (87.5%),Monster,Grass,45,Lv. 32,1
4,Charmander,39,52,43,60,50,65,309,Fire,,Blaze,,Solar Power,1 Spe,M (87.5%),Monster,Dragon,45,,1
5,Charmeleon,58,64,58,80,65,80,405,Fire,,Blaze,,Solar Power,1 SpA/1 Spe,M (87.5%),Monster,Dragon,45,Lv. 16,1
6,Charizard,78,84,78,109,85,100,534,Fire,Flying,Blaze,,Solar Power,3 SpA,M (87.5%),Monster,Dragon,45,Lv. 36,1
7,Squirtle,44,48,65,50,64,43,314,Water,,Torrent,,Rain Dish,1 Def,M (87.5%),Monster,Water 1,45,,1
8,Wartortle,59,63,80,65,80,58,405,Water,,Torrent,,Rain Dish,1 Def/1 SpD,M (87.5%),Monster,Water 1,45,Lv. 16,1
9,Blastoise,79,83,100,85,105,78,530,Water,,Torrent,,Rain Dish,3 SpD,M (87.5%),Monster,Water 1,45,Lv. 36,1
10,Caterpie,45,30,35,20,20,45,195,Bug,,Shield Dust,,Run Away,1 HP,Neutral,Bug,,255,,1
11,Metapod,50,20,55,25,25,30,205,Bug,,Shed Skin,,,1 Def,Neutral,Bug,,120,Lv. 7,1
12,Butterfree,60,45,50,90,80,70,395,Bug,Flying,Compoundeyes,,Tinted Lens,2 SpA/1 SpD,Neutral,Bug,,45,Lv. 10,1
13,Weedle,40,35,30,20,20,50,195,Bug,Poison,Shield Dust,,Run Away,1 Spe,Neutral,Bug,,255,,1
14,Kakuna,45,25,50,25,25,35,205,Bug,Poison,Shed Skin,,,2 Def,Neutral,Bug,,120,Lv. 7,1
15,Beedrill,65,90,40,45,80,75,395,Bug,Poison,Swarm,,Sniper,2 Atk/1 SpD,Neutral,Bug,,45,Lv. 10,1
16,Pidgey,40,45,40,35,35,56,251,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1 Spe,Neutral,Flying,,255,,1
17,Pidgeotto,63,60,55,50,50,71,349,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,2 Spe,Neutral,Flying,,120,Lv. 18,1
18,Pidgeot,83,80,75,70,70,101,479,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,3 Spe,Neutral,Flying,,45,Lv. 36,1
19,Rattata,30,56,35,25,35,72,253,Normal,,Run Away,Guts,Hustle,1 Spe,Neutral,Field,,255,,1
20,Raticate,55,81,60,50,70,97,413,Normal,,Run Away,Guts,Hustle,2 Spe,Neutral,Field,,127,Lv. 20,1
21,Spearow,40,60,30,31,31,70,262,Normal,Flying,Keen Eye,,Sniper,1 Spe,Neutral,Flying,,255,,1
